UI_20150317_000001	{@st41b}Kamu dapat belajar attribute{nl}Melalui Master setiap class.{/}	{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}
UI_20150317_000002	{@st43}List {/}	{@st43}특성 목록{/}
UI_20150317_000003	{@st59}Tutup {/}	{@st59}특성리스트를 닫습니다{/}
UI_20150317_000004	{@st43}Belajar Attribute{/}	{@st43}특성 배우기{/}
UI_20150317_000005	{@st59}Tutup window attribute{/}	{@st59}특성창을 닫습니다{/}
UI_20150317_000006	{@st41b}Silver{/}	{@st41b}소지금{/}
UI_20150317_000007	My Achievement	나의 업적
UI_20150317_000008	Server Ranking	서버 랭킹
UI_20150317_000009	{@st59}Surprise Event.{/}	{@st59}돌발이벤트가 있습니다{/}
UI_20150317_000010	{@st59}Ada pesan bantuan baru.{/}	{@st59}도움말이 있습니다{/}
UI_20150317_000011	{@st41}Arrow macam apa yang mau kamu buat?{/}	{@st41}어떤 종류의 화살을 제작하겠습니까?{/}
UI_20150317_000012	{@st41b}Sekali{/}	{@st41b}한번만{/}
UI_20150317_000013	{@st41b}Semua{/}	{@st41b}모두{/}
UI_20150317_000014	{@St41b}Pause{/}	{@st41b}중단{/}
UI_20150317_000015	{@St43}Adventure Journal{/}	{@st43}모험일지{/}
UI_20150317_000016	{@St43}Auction House{/}	{@st43}경매장{/}
UI_20150317_000017	{@St59}Tutup{/}	{@st59}경매장을 닫습니다{/}
UI_20150317_000018	{@St41b}Item Terjual : %s buah, Item Belum terjual : %s buah{/}	{@st41b}낙찰물품 : %s개,  유찰물품 : %s개{/}
UI_20150317_000019	{@St43}{s22}Item Auction{/}	{@st43}{s22}아이템 경매{/}
UI_20150317_000020	{@st59}Tutup Quest Information{/}	{@st59}퀘스트 정보를 닫습니다{/}
UI_20150317_000021	Sukses!!	아베일레스트
UI_20150317_000022	{@St41b}Waktu Tersisa	{@st41b}남은 시간
UI_20150317_000023	3 jam 16 menit	3시간 16분
UI_20150317_000024	{@St41b}Harga mulai dari	{@st41b}시작가
UI_20150317_000025	{@St41b}Lelang	{@st41b}입찰수
UI_20150317_000026	{@St41b}Harga Sekarang	{@st41b}현재가
UI_20150317_000027	{@St41b}Harga Lelang	{@st41b}입찰금
UI_20150317_000028	{@St41b}Harga Lelang Minimum mulai dari {@st57}%s {@st41b}Silver{/}	{@st41b}최소 {@st57}%s {@st41b}실버부터 입찰가능{/}
UI_20150317_000029	{@St41b}Lelang{/}	{@st41b}입찰{/}
UI_20150317_000030	{@St43b}Beli Sekarang! {nl}{img icon_item_silver 20 20}{@st57}%s{/}	{@st43b}바로 구매!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@St44}Permission Settings{/}	{@st44}권한설정{/}
UI_20150317_000032	{@St45}Nama: %s{/}	{@st45}이름:%s{/}
UI_20150317_000033	{@St45}Party Warehouse{/}	{@st45}파티 창고{/}
UI_20150317_000034	{@St49}None	{@st49}없음
UI_20150317_000035	{@St49}Insert	{@st49}넣기
UI_20150317_000036	{@St49}Import	{@st49}가져오기
UI_20150317_000037	{@St45}Survey{/}	{@st45}설문{/}
UI_20150317_000038	{@St49}Buat	{@st49}작성
UI_20150317_000039	{@St49}Hapus	{@st49}삭제
UI_20150317_000040	{@St44}Save{/}	{@st44}저장{/}
